artist_name,artist_id,album_id,album_release_date,album_release_year,duration_ms,danceability
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,382368,0.317
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,238300,0.306
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,344793,0.316
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,277510,0.283
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,252418,0.512
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,294031,0.327
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,272747,0.394
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,393294,0.301
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,317085,0.351
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,278894,0.266
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,266553,0.32
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,324191,0.375
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,293500,0.341
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,404331,0.553
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,239148,0.287
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,857933,0.255
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,272358,0.529
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,309440,0.225
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,321584,0.154
The National,2cCUtGK9sDU2EoElnk0GNB,0Obu2vGpwwsdLo9UIDPyQL,2019-12-24,2019,294309,0.375
